Probe	Chromosome	Start	End	Probe Strand	No value	Feature	ID	Description	Feature Strand	Type	Orientation	Distance	cmh_window_geomean_sigonly_forseqmonk
ChrChromosome_6:8440000-8450000	Chromosome_6	8440000	8450000		NaN	TCALIF_17095	TCALIF_17095	No description	-	CDS	overlapping	0	1.0
ChrChromosome_6:8460000-8470000	Chromosome_6	8460000	8470000		NaN	TCALIF_06574	TCALIF_06574	No description	-	CDS	overlapping	0	1.0
ChrChromosome_6:8510000-8520000	Chromosome_6	8510000	8520000		NaN	TCALIF_16029	TCALIF_16029	No description	+	CDS	overlapping	0	1.0
ChrChromosome_6:8520000-8530000	Chromosome_6	8520000	8530000		NaN	TCALIF_06569	TCALIF_06569	No description	-	CDS	overlapping	0	1.0
ChrChromosome_6:9050000-9060000	Chromosome_6	9050000	9060000		NaN	TCALIF_06586	TCALIF_06586	No description	-	CDS	overlapping	0	1.0
ChrChromosome_6:9630000-9640000	Chromosome_6	9630000	9640000		NaN	TCALIF_17098	TCALIF_17098	No description	-	CDS	overlapping	0	1.0
ChrChromosome_6:10640000-10650000	Chromosome_6	10640000	10650000		NaN	TCALIF_16037	TCALIF_16037	No description	-	CDS	overlapping	0	1.0
ChrChromosome_6:10890000-10900000	Chromosome_6	10890000	10900000		NaN	TCALIF_11737	TCALIF_11737	No description	-	CDS	overlapping	0	1.0
ChrChromosome_6:11130000-11140000	Chromosome_6	11130000	11140000		NaN	TCALIF_10916	TCALIF_10916	No description	-	CDS	overlapping	0	1.0
ChrChromosome_6:12170000-12180000	Chromosome_6	12170000	12180000		NaN	TCALIF_17050	TCALIF_17050	No description	-	CDS	overlapping	0	1.0
ChrChromosome_6:12420000-12430000	Chromosome_6	12420000	12430000		NaN	TCALIF_09045	TCALIF_09045	No description	+	CDS	overlapping	0	1.0
ChrChromosome_6:12480000-12490000	Chromosome_6	12480000	12490000		NaN	TCALIF_09042	TCALIF_09042	No description	-	CDS	overlapping	0	1.0
ChrChromosome_6:12590000-12600000	Chromosome_6	12590000	12600000		NaN	TCALIF_09034	TCALIF_09034	No description	-	CDS	overlapping	0	1.0
ChrChromosome_6:13820000-13830000	Chromosome_6	13820000	13830000		NaN	TCALIF_11365	TCALIF_11365	No description	-	CDS	overlapping	0	1.0
ChrChromosome_7:1580000-1590000	Chromosome_7	1580000	1590000		NaN	TCALIF_16200	TCALIF_16200	No description	+	CDS	overlapping	0	1.0
ChrChromosome_7:1710000-1720000	Chromosome_7	1710000	1720000		NaN	TCALIF_12364	TCALIF_12364	No description	+	CDS	overlapping	0	1.0
ChrChromosome_7:1810000-1820000	Chromosome_7	1810000	1820000		NaN	TCALIF_09440	TCALIF_09440	No description	-	CDS	overlapping	0	1.0
ChrChromosome_7:1880000-1890000	Chromosome_7	1880000	1890000		NaN	TCALIF_06734	TCALIF_06734	No description	+	CDS	overlapping	0	1.0
ChrChromosome_7:4890000-4900000	Chromosome_7	4890000	4900000		NaN	TCALIF_01076	TCALIF_01076	No description	+	CDS	overlapping	0	1.0
ChrChromosome_7:4990000-5000000	Chromosome_7	4990000	5000000		NaN	TCALIF_01071	TCALIF_01071	No description	+	CDS	overlapping	0	1.0
ChrChromosome_7:5180000-5190000	Chromosome_7	5180000	5190000		NaN	TCALIF_01047	TCALIF_01047	No description	+	CDS	overlapping	0	1.0
ChrChromosome_7:5220000-5230000	Chromosome_7	5220000	5230000		NaN	TCALIF_16158	TCALIF_16158	No description	+	CDS	overlapping	0	1.0
ChrChromosome_7:5500000-5510000	Chromosome_7	5500000	5510000		NaN	TCALIF_01028	TCALIF_01028	No description	+	CDS	overlapping	0	1.0
ChrChromosome_7:5510000-5520000	Chromosome_7	5510000	5520000		NaN	TCALIF_01027	TCALIF_01027	No description	-	CDS	overlapping	0	1.0
ChrChromosome_7:5580000-5590000	Chromosome_7	5580000	5590000		NaN	TCALIF_01021	TCALIF_01021	No description	+	CDS	overlapping	0	1.0
ChrChromosome_7:5590000-5600000	Chromosome_7	5590000	5600000		NaN	TCALIF_01017	TCALIF_01017	No description	+	CDS	overlapping	0	1.0
ChrChromosome_7:5630000-5640000	Chromosome_7	5630000	5640000		NaN	TCALIF_01014	TCALIF_01014	No description	+	CDS	overlapping	0	1.0
ChrChromosome_7:5670000-5680000	Chromosome_7	5670000	5680000		NaN	TCALIF_01007	TCALIF_01007	No description	+	CDS	overlapping	0	1.0
ChrChromosome_7:5840000-5850000	Chromosome_7	5840000	5850000		NaN	TCALIF_00996	TCALIF_00996	No description	-	CDS	overlapping	0	1.0
ChrChromosome_7:9330000-9340000	Chromosome_7	9330000	9340000		NaN	TCALIF_01079	TCALIF_01079	No description	-	CDS	overlapping	0	1.0
ChrChromosome_7:9770000-9780000	Chromosome_7	9770000	9780000		NaN	TCALIF_01122	TCALIF_01122	No description	-	CDS	overlapping	0	1.0
ChrChromosome_7:9810000-9820000	Chromosome_7	9810000	9820000		NaN	TCALIF_01133	TCALIF_01133	No description	-	CDS	overlapping	0	1.0
ChrChromosome_7:9840000-9850000	Chromosome_7	9840000	9850000		NaN	TCALIF_01134	TCALIF_01134	No description	+	CDS	overlapping	0	1.0
ChrChromosome_7:10080000-10090000	Chromosome_7	10080000	10090000		NaN	TCALIF_01150	TCALIF_01150	No description	+	CDS	overlapping	0	1.0
ChrChromosome_7:10140000-10150000	Chromosome_7	10140000	10150000		NaN	TCALIF_01156	TCALIF_01156	No description	+	CDS	overlapping	0	1.0
ChrChromosome_7:10490000-10500000	Chromosome_7	10490000	10500000		NaN	TCALIF_13032	TCALIF_13032	No description	+	CDS	overlapping	0	1.0
ChrChromosome_7:10500000-10510000	Chromosome_7	10500000	10510000		NaN	TCALIF_13034	TCALIF_13034	No description	+	CDS	overlapping	0	1.0
ChrChromosome_7:10780000-10790000	Chromosome_7	10780000	10790000		NaN	TCALIF_05387	TCALIF_05387	No description	+	CDS	overlapping	0	1.0
ChrChromosome_7:10790000-10800000	Chromosome_7	10790000	10800000		NaN	TCALIF_05389	TCALIF_05389	No description	+	CDS	overlapping	0	1.0
ChrChromosome_7:10850000-10860000	Chromosome_7	10850000	10860000		NaN	TCALIF_05396	TCALIF_05396	No description	-	CDS	overlapping	0	1.0
ChrChromosome_7:10880000-10890000	Chromosome_7	10880000	10890000		NaN	TCALIF_05400	TCALIF_05400	No description	-	CDS	overlapping	0	1.0
ChrChromosome_7:10920000-10930000	Chromosome_7	10920000	10930000		NaN	TCALIF_05405	TCALIF_05405	No description	-	CDS	overlapping	0	1.0
ChrChromosome_7:10930000-10940000	Chromosome_7	10930000	10940000		NaN	TCALIF_05406	TCALIF_05406	No description	+	CDS	overlapping	0	1.0
ChrChromosome_7:11030000-11040000	Chromosome_7	11030000	11040000		NaN	TCALIF_05410	TCALIF_05410	No description	+	CDS	overlapping	0	1.0
ChrChromosome_7:11040000-11050000	Chromosome_7	11040000	11050000		NaN	TCALIF_05410	TCALIF_05410	No description	+	CDS	overlapping	0	1.0
ChrChromosome_7:11060000-11070000	Chromosome_7	11060000	11070000		NaN	TCALIF_14844	TCALIF_14844	No description	+	CDS	overlapping	0	1.0
ChrChromosome_7:11090000-11100000	Chromosome_7	11090000	11100000		NaN	TCALIF_05413	TCALIF_05413	No description	+	CDS	overlapping	0	1.0
ChrChromosome_7:11160000-11170000	Chromosome_7	11160000	11170000		NaN	TCALIF_17106	TCALIF_17106	No description	+	CDS	overlapping	0	1.0
ChrChromosome_7:11240000-11250000	Chromosome_7	11240000	11250000		NaN	TCALIF_09985	TCALIF_09985	No description	-	CDS	overlapping	0	1.0
ChrChromosome_7:11270000-11280000	Chromosome_7	11270000	11280000		NaN	TCALIF_09986	TCALIF_09986	No description	-	CDS	overlapping	0	1.0
ChrChromosome_7:11320000-11330000	Chromosome_7	11320000	11330000		NaN	TCALIF_12664	TCALIF_12664	No description	+	CDS	overlapping	0	1.0
ChrChromosome_7:11400000-11410000	Chromosome_7	11400000	11410000		NaN	TCALIF_09726	TCALIF_09726	No description	+	CDS	overlapping	0	1.0
ChrChromosome_7:11530000-11540000	Chromosome_7	11530000	11540000		NaN	TCALIF_09715	TCALIF_09715	No description	-	CDS	overlapping	0	1.0
ChrChromosome_7:11690000-11700000	Chromosome_7	11690000	11700000		NaN	TCALIF_00171	TCALIF_00171	No description	-	CDS	overlapping	0	1.0
ChrChromosome_7:11710000-11720000	Chromosome_7	11710000	11720000		NaN	TCALIF_00172	TCALIF_00172	No description	-	CDS	overlapping	0	1.0
ChrChromosome_7:11730000-11740000	Chromosome_7	11730000	11740000		NaN	TCALIF_00176	TCALIF_00176	No description	-	CDS	overlapping	0	1.0
ChrChromosome_7:11780000-11790000	Chromosome_7	11780000	11790000		NaN	TCALIF_00185	TCALIF_00185	No description	+	CDS	overlapping	0	1.0
ChrChromosome_7:11860000-11870000	Chromosome_7	11860000	11870000		NaN	TCALIF_00190	TCALIF_00190	No description	-	CDS	overlapping	0	1.0
ChrChromosome_7:11940000-11950000	Chromosome_7	11940000	11950000		NaN	TCALIF_00194	TCALIF_00194	No description	+	CDS	overlapping	0	1.0
ChrChromosome_7:11950000-11960000	Chromosome_7	11950000	11960000		NaN	TCALIF_00196	TCALIF_00196	No description	+	CDS	overlapping	0	1.0
ChrChromosome_7:12050000-12060000	Chromosome_7	12050000	12060000		NaN	TCALIF_00208	TCALIF_00208	No description	-	CDS	overlapping	0	1.0
ChrChromosome_7:12080000-12090000	Chromosome_7	12080000	12090000		NaN	TCALIF_00209	TCALIF_00209	No description	-	CDS	overlapping	0	1.0
ChrChromosome_7:12120000-12130000	Chromosome_7	12120000	12130000		NaN	TCALIF_00212	TCALIF_00212	No description	-	CDS	overlapping	0	1.0
ChrChromosome_7:12130000-12140000	Chromosome_7	12130000	12140000		NaN	TCALIF_00213	TCALIF_00213	No description	-	CDS	overlapping	0	1.0
ChrChromosome_7:12230000-12240000	Chromosome_7	12230000	12240000		NaN	TCALIF_12729	TCALIF_12729	No description	-	CDS	overlapping	0	1.0
ChrChromosome_7:12590000-12600000	Chromosome_7	12590000	12600000		NaN	TCALIF_11967	TCALIF_11967	No description	-	CDS	overlapping	0	1.0
ChrChromosome_7:12660000-12670000	Chromosome_7	12660000	12670000		NaN	TCALIF_11457	TCALIF_11457	No description	+	CDS	overlapping	0	1.0
ChrChromosome_7:12980000-12990000	Chromosome_7	12980000	12990000		NaN	TCALIF_14855	TCALIF_14855	No description	+	CDS	overlapping	0	1.0
ChrChromosome_7:13860000-13870000	Chromosome_7	13860000	13870000		NaN	TCALIF_10119	TCALIF_10119	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:700000-710000	Chromosome_8	700000	710000		NaN	TCALIF_03717	TCALIF_03717	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:780000-790000	Chromosome_8	780000	790000		NaN	TCALIF_03713	TCALIF_03713	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:920000-930000	Chromosome_8	920000	930000		NaN	TCALIF_03699	TCALIF_03699	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:1010000-1020000	Chromosome_8	1010000	1020000		NaN	TCALIF_03693	TCALIF_03693	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:1160000-1170000	Chromosome_8	1160000	1170000		NaN	TCALIF_03679	TCALIF_03679	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:1250000-1260000	Chromosome_8	1250000	1260000		NaN	TCALIF_03672	TCALIF_03672	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:1290000-1300000	Chromosome_8	1290000	1300000		NaN	TCALIF_03667	TCALIF_03667	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:1480000-1490000	Chromosome_8	1480000	1490000		NaN	TCALIF_09525	TCALIF_09525	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:2910000-2920000	Chromosome_8	2910000	2920000		NaN	TCALIF_01479	TCALIF_01479	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:2920000-2930000	Chromosome_8	2920000	2930000		NaN	TCALIF_17203	TCALIF_17203	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:2940000-2950000	Chromosome_8	2940000	2950000		NaN	TCALIF_01480	TCALIF_01480	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:2960000-2970000	Chromosome_8	2960000	2970000		NaN	TCALIF_01482	TCALIF_01482	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:2970000-2980000	Chromosome_8	2970000	2980000		NaN	TCALIF_17206	TCALIF_17206	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:3160000-3170000	Chromosome_8	3160000	3170000		NaN	TCALIF_17207	TCALIF_17207	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:3280000-3290000	Chromosome_8	3280000	3290000		NaN	TCALIF_14963	TCALIF_14963	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:3430000-3440000	Chromosome_8	3430000	3440000		NaN	TCALIF_09094	TCALIF_09094	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:3610000-3620000	Chromosome_8	3610000	3620000		NaN	TCALIF_09264	TCALIF_09264	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:3630000-3640000	Chromosome_8	3630000	3640000		NaN	TCALIF_09266	TCALIF_09266	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:3690000-3700000	Chromosome_8	3690000	3700000		NaN	TCALIF_09271	TCALIF_09271	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:3740000-3750000	Chromosome_8	3740000	3750000		NaN	TCALIF_05716	TCALIF_05716	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:3780000-3790000	Chromosome_8	3780000	3790000		NaN	TCALIF_05713	TCALIF_05713	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:3800000-3810000	Chromosome_8	3800000	3810000		NaN	TCALIF_05712	TCALIF_05712	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:3810000-3820000	Chromosome_8	3810000	3820000		NaN	TCALIF_05712	TCALIF_05712	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:3820000-3830000	Chromosome_8	3820000	3830000		NaN	TCALIF_05712	TCALIF_05712	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:3840000-3850000	Chromosome_8	3840000	3850000		NaN	TCALIF_05710	TCALIF_05710	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:3860000-3870000	Chromosome_8	3860000	3870000		NaN	TCALIF_05709	TCALIF_05709	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:3880000-3890000	Chromosome_8	3880000	3890000		NaN	TCALIF_17211	TCALIF_17211	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:3900000-3910000	Chromosome_8	3900000	3910000		NaN	TCALIF_05705	TCALIF_05705	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:3910000-3920000	Chromosome_8	3910000	3920000		NaN	TCALIF_05703	TCALIF_05703	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:3920000-3930000	Chromosome_8	3920000	3930000		NaN	TCALIF_05702	TCALIF_05702	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:3940000-3950000	Chromosome_8	3940000	3950000		NaN	TCALIF_16323	TCALIF_16323	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:3950000-3960000	Chromosome_8	3950000	3960000		NaN	TCALIF_16323	TCALIF_16323	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:3980000-3990000	Chromosome_8	3980000	3990000		NaN	TCALIF_05699	TCALIF_05699	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:4000000-4010000	Chromosome_8	4000000	4010000		NaN	TCALIF_14965	TCALIF_14965	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:4090000-4100000	Chromosome_8	4090000	4100000		NaN	TCALIF_14967	TCALIF_14967	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:4100000-4110000	Chromosome_8	4100000	4110000		NaN	TCALIF_16275	TCALIF_16275	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:4120000-4130000	Chromosome_8	4120000	4130000		NaN	TCALIF_05692	TCALIF_05692	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:4130000-4140000	Chromosome_8	4130000	4140000		NaN	TCALIF_05692	TCALIF_05692	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:4140000-4150000	Chromosome_8	4140000	4150000		NaN	TCALIF_05690	TCALIF_05690	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:4150000-4160000	Chromosome_8	4150000	4160000		NaN	TCALIF_05690	TCALIF_05690	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:4160000-4170000	Chromosome_8	4160000	4170000		NaN	TCALIF_05688	TCALIF_05688	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:4170000-4180000	Chromosome_8	4170000	4180000		NaN	TCALIF_05688	TCALIF_05688	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:4190000-4200000	Chromosome_8	4190000	4200000		NaN	TCALIF_05685	TCALIF_05685	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:4260000-4270000	Chromosome_8	4260000	4270000		NaN	TCALIF_08418	TCALIF_08418	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:4270000-4280000	Chromosome_8	4270000	4280000		NaN	TCALIF_08418	TCALIF_08418	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:4280000-4290000	Chromosome_8	4280000	4290000		NaN	TCALIF_08417	TCALIF_08417	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:4330000-4340000	Chromosome_8	4330000	4340000		NaN	TCALIF_08416	TCALIF_08416	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:4340000-4350000	Chromosome_8	4340000	4350000		NaN	TCALIF_08415	TCALIF_08415	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:4360000-4370000	Chromosome_8	4360000	4370000		NaN	TCALIF_08414	TCALIF_08414	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:4370000-4380000	Chromosome_8	4370000	4380000		NaN	TCALIF_08413	TCALIF_08413	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:4380000-4390000	Chromosome_8	4380000	4390000		NaN	TCALIF_08412	TCALIF_08412	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:4390000-4400000	Chromosome_8	4390000	4400000		NaN	TCALIF_08409	TCALIF_08409	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:4400000-4410000	Chromosome_8	4400000	4410000		NaN	TCALIF_08409	TCALIF_08409	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:4410000-4420000	Chromosome_8	4410000	4420000		NaN	TCALIF_08409	TCALIF_08409	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:4430000-4440000	Chromosome_8	4430000	4440000		NaN	TCALIF_08406	TCALIF_08406	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:4440000-4450000	Chromosome_8	4440000	4450000		NaN	TCALIF_08406	TCALIF_08406	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:4450000-4460000	Chromosome_8	4450000	4460000		NaN	TCALIF_08404	TCALIF_08404	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:4460000-4470000	Chromosome_8	4460000	4470000		NaN	TCALIF_08403	TCALIF_08403	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:4470000-4480000	Chromosome_8	4470000	4480000		NaN	TCALIF_08402	TCALIF_08402	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:4480000-4490000	Chromosome_8	4480000	4490000		NaN	TCALIF_08402	TCALIF_08402	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:4490000-4500000	Chromosome_8	4490000	4500000		NaN	TCALIF_08401	TCALIF_08401	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:4500000-4510000	Chromosome_8	4500000	4510000		NaN	TCALIF_08400	TCALIF_08400	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:4550000-4560000	Chromosome_8	4550000	4560000		NaN	TCALIF_08398	TCALIF_08398	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:4590000-4600000	Chromosome_8	4590000	4600000		NaN	TCALIF_08396	TCALIF_08396	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:4640000-4650000	Chromosome_8	4640000	4650000		NaN	TCALIF_16324	TCALIF_16324	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:4710000-4720000	Chromosome_8	4710000	4720000		NaN	TCALIF_08270	TCALIF_08270	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:4750000-4760000	Chromosome_8	4750000	4760000		NaN	TCALIF_08274	TCALIF_08274	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:4760000-4770000	Chromosome_8	4760000	4770000		NaN	TCALIF_08274	TCALIF_08274	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:4780000-4790000	Chromosome_8	4780000	4790000		NaN	TCALIF_08275	TCALIF_08275	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:4790000-4800000	Chromosome_8	4790000	4800000		NaN	TCALIF_08277	TCALIF_08277	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:4800000-4810000	Chromosome_8	4800000	4810000		NaN	TCALIF_08277	TCALIF_08277	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:4820000-4830000	Chromosome_8	4820000	4830000		NaN	TCALIF_08278	TCALIF_08278	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:4840000-4850000	Chromosome_8	4840000	4850000		NaN	TCALIF_08279	TCALIF_08279	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:4850000-4860000	Chromosome_8	4850000	4860000		NaN	TCALIF_08279	TCALIF_08279	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:4860000-4870000	Chromosome_8	4860000	4870000		NaN	TCALIF_08281	TCALIF_08281	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:4910000-4920000	Chromosome_8	4910000	4920000		NaN	TCALIF_09148	TCALIF_09148	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:4940000-4950000	Chromosome_8	4940000	4950000		NaN	TCALIF_09145	TCALIF_09145	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:5000000-5010000	Chromosome_8	5000000	5010000		NaN	TCALIF_09133	TCALIF_09133	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:6550000-6560000	Chromosome_8	6550000	6560000		NaN	TCALIF_02137	TCALIF_02137	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:6560000-6570000	Chromosome_8	6560000	6570000		NaN	TCALIF_02136	TCALIF_02136	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:6590000-6600000	Chromosome_8	6590000	6600000		NaN	TCALIF_02131	TCALIF_02131	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:6630000-6640000	Chromosome_8	6630000	6640000		NaN	TCALIF_02129	TCALIF_02129	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:6650000-6660000	Chromosome_8	6650000	6660000		NaN	TCALIF_02126	TCALIF_02126	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:6760000-6770000	Chromosome_8	6760000	6770000		NaN	TCALIF_02117	TCALIF_02117	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:6770000-6780000	Chromosome_8	6770000	6780000		NaN	TCALIF_02117	TCALIF_02117	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:6780000-6790000	Chromosome_8	6780000	6790000		NaN	TCALIF_02117	TCALIF_02117	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:6800000-6810000	Chromosome_8	6800000	6810000		NaN	TCALIF_02115	TCALIF_02115	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:6830000-6840000	Chromosome_8	6830000	6840000		NaN	TCALIF_16283	TCALIF_16283	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:6840000-6850000	Chromosome_8	6840000	6850000		NaN	TCALIF_02112	TCALIF_02112	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:6850000-6860000	Chromosome_8	6850000	6860000		NaN	TCALIF_02110	TCALIF_02110	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:6860000-6870000	Chromosome_8	6860000	6870000		NaN	TCALIF_16284	TCALIF_16284	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:6870000-6880000	Chromosome_8	6870000	6880000		NaN	TCALIF_14983	TCALIF_14983	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:6920000-6930000	Chromosome_8	6920000	6930000		NaN	TCALIF_10067	TCALIF_10067	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:6960000-6970000	Chromosome_8	6960000	6970000		NaN	TCALIF_10074	TCALIF_10074	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:6980000-6990000	Chromosome_8	6980000	6990000		NaN	TCALIF_10078	TCALIF_10078	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:6990000-7000000	Chromosome_8	6990000	7000000		NaN	TCALIF_10079	TCALIF_10079	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:7000000-7010000	Chromosome_8	7000000	7010000		NaN	TCALIF_13531	TCALIF_13531	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:7020000-7030000	Chromosome_8	7020000	7030000		NaN	TCALIF_11805	TCALIF_11805	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:7030000-7040000	Chromosome_8	7030000	7040000		NaN	TCALIF_11805	TCALIF_11805	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:7450000-7460000	Chromosome_8	7450000	7460000		NaN	TCALIF_11575	TCALIF_11575	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:7480000-7490000	Chromosome_8	7480000	7490000		NaN	TCALIF_11578	TCALIF_11578	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:7670000-7680000	Chromosome_8	7670000	7680000		NaN	TCALIF_14988	TCALIF_14988	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:7790000-7800000	Chromosome_8	7790000	7800000		NaN	TCALIF_17230	TCALIF_17230	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:8420000-8430000	Chromosome_8	8420000	8430000		NaN	TCALIF_11157	TCALIF_11157	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:9330000-9340000	Chromosome_8	9330000	9340000		NaN	TCALIF_11508	TCALIF_11508	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:9340000-9350000	Chromosome_8	9340000	9350000		NaN	TCALIF_11508	TCALIF_11508	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:9360000-9370000	Chromosome_8	9360000	9370000		NaN	TCALIF_11511	TCALIF_11511	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:9380000-9390000	Chromosome_8	9380000	9390000		NaN	TCALIF_11512	TCALIF_11512	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:9390000-9400000	Chromosome_8	9390000	9400000		NaN	TCALIF_11513	TCALIF_11513	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:9410000-9420000	Chromosome_8	9410000	9420000		NaN	TCALIF_11515	TCALIF_11515	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:9490000-9500000	Chromosome_8	9490000	9500000		NaN	TCALIF_13146	TCALIF_13146	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:9500000-9510000	Chromosome_8	9500000	9510000		NaN	TCALIF_13146	TCALIF_13146	No description	-	CDS	overlapping	0	1.0
ChrChromosome_8:9510000-9520000	Chromosome_8	9510000	9520000		NaN	TCALIF_13148	TCALIF_13148	No description	+	CDS	overlapping	0	1.0
ChrChromosome_8:9550000-9560000	Chromosome_8	9550000	9560000		NaN	TCALIF_10274	TCALIF_10274	No description	+	CDS	overlapping	0	1.0
